banc_626,manc_1.2.1,maol_1.1
720575941526929485,12749,10046
720575941688977932,10477,10093
720575941351325744,10056,10016
720575941436730898,10011,20334
720575941353013040,10042,11579
720575941403097968,11389,20775
720575941455124717,10740,12979
720575941489591244,11040,18001
720575941490913993,10776,11463
720575941353129264,10397,14823
720575941427899220,10604,22440
720575941353070384,10407,10693
720575941435496334,14549,11291
720575941402069283,11264,10029
720575941401338403,12954,12140
720575941352779824,12304,17135
720575941438712594,13150,53330
720575941401948195,13100,11670
720575941408691115,12469,13727
720575941393630102,13572,13941
720575941456938221,10013,14002
720575941392956420,11144,15586
720575941392922116,10177,11161
720575941431264905,16222,64668
720575941392919044,11387,44631
720575941448182292,10862,12236
720575941408568238,10051,31281
720575941401814307,11079,36408
720575941353301552,12605,10106
720575941593715569,14927,79718
720575941562045952,19891,15127
720575941413189265,11439,10818
720575941405868462,23076,15007
720575941351912752,26258,11939
720575941429526743,14418,10809
720575941406488494,14226,10275
720575941438455340,12432,10443
720575941410120107,10094,10870
720575941393503382,10915,36139
720575941413917724,11232,20937
720575941393748630,153874,18618
720575941390677654,10548,48598
720575941390634134,15151,22865
720575941393745046,14702,16587
720575941350409264,11428,12021
720575941499426699,15846,30517
720575941405863854,15935,17145
720575941436996882,10359,22016
720575941429543127,30702,17870
720575941401753635,15909,13285
720575941410037419,10386,16512
720575941474595370,16735,10803
720575941496284489,15749,61730
720575941530606467,16117,66787
720575941402058608,10401,22025
720575941410007663,14742,16154
720575941442926762,13454,17985
720575941476981569,14935,11319
720575941392800260,12636,12202
720575941430069641,14156,18464
720575941350354224,16872,19459
720575941412323473,13984,16590
720575941414326161,10808,29382
720575941429361249,11811,35876
720575941441228735,10057,30802
720575941390352388,10965,24363
720575941504200613,12674,34237
720575941446894612,12532,29658
720575941412623215,18478,40363
720575941353008688,14822,20432
720575941495864905,17657,18507
720575941414483604,15546,66062
720575941438674367,10073,33741
720575941438938924,12418,20248
720575941487864528,10481,40351
720575941391840918,19230,12971
720575941461834451,10669,40897
720575941410208111,10733,28835
720575941408421291,10361,16600
720575941572118281,18309,26177
720575941409978223,17789,200456
720575941442379178,20180,39961
720575941476080948,22293,25587
720575941563314486,35906,19461
720575941463144336,17422,21080
720575941499558369,33659,75569
720575941530190027,17704,23052
720575941489083596,15146,22091
720575941463655693,15050,65782
720575941390273796,18551,25309
720575941468268151,19300,32905
720575941482518970,19693,127913
720575941458334163,20115,24926
720575941401776931,22628,97964
720575941390632342,14211,22238
720575941438358079,24225,112107
720575941390330372,24730,22342
720575941410017391,14008,22788
720575941407598127,16431,20300
720575941432723854,12706,17118
720575941425003604,14236,32307
720575941412553839,11982,25273
720575941409975663,13111,28036
720575941429471959,17252,28090
720575941431019695,15524,48144
720575941488734665,20317,42078
720575941428132856,14906,39709
720575941481071802,13672,79624
720575941480070223,18604,34682
720575941392715012,12117,207216
720575941436205868,11623,22178
720575941439786719,16590,99596
720575941410327723,24366,86503
720575941391131286,62759,41926
720575941430263689,17596,41083
720575941410102895,37293,54267
720575941408662958,31560,36510
720575941411401387,23780,30239
720575941414619025,14575,60851
720575941392390660,19465,19449
720575941527182692,15277,12528
720575941453637545,16287,28355
720575941539358613,14963,47009
720575941351883568,25610,31067
720575941560341107,17706,19833
720575941352286512,15737,14977
720575941392716694,23724,50448
720575941391589380,26634,40348
720575941427145812,21818,15943
720575941412393839,26290,31742
720575941415969052,19979,43504
720575941408836911,25068,27925
720575941499031881,22635,15402
720575941438776364,22525,24044
720575941353177904,17205,19509
720575941455064883,19379,25574
720575941433324686,28395,35709
720575941655627988,26967,99142
720575941417035548,29060,103648
720575941401861923,25343,99500
720575941449304142,16989,36046
720575941449333070,16635,78056
720575941451791017,15623,46124
