banc_626,manc_1.2.1,mcns_0.9
720575941526929485,12749,537032
720575941688977932,10477,10009
720575941351325744,10056,22878
720575941436730898,10011,15750
720575941353013040,10042,10723
720575941403097968,11389,10063
720575941455124717,10740,10011
720575941436748306,20340,10272
720575941427391060,12235,529759
720575941408124463,10155,10119
720575941472341344,10127,12392
720575941390623382,10997,49550
720575941512880643,13368,16917
720575941439741119,10331,16475
720575941544264041,15511,11378
720575941513173763,10604,10117
720575941468288375,10611,10038
720575941474574132,10073,10054
720575941468897856,13148,10221
720575941572118281,13206,10703
720575941350395952,10148,10331
720575941428412809,10753,12647
720575941411656081,10094,117712
720575941429488599,10505,11075
720575941408508587,12223,10279
720575941442381738,10401,10739
720575941350352176,11554,10576
720575941639365749,28818,10847
720575941390358788,11242,10068
720575941402383907,13415,10035
720575941411207535,16795,10087
720575941390767254,10493,10695
720575941399292707,11436,10044
720575941408320430,12295,10356
720575941390702742,10548,10370
720575941642444449,15151,12285
720575941445229332,14702,10457
720575941476519476,12389,10987
720575941471912000,13726,10013
720575941350443312,11453,10005
720575941413468052,17030,10210
720575941409205807,10383,10483
720575941432050958,11624,10099
720575941350471472,12844,10568
720575941553598180,13297,12844
720575941405815726,14853,13893
720575941441591643,15182,12106
