banc_626,maol_1.1,mcns_0.9
720575941526929485,10046,537032
720575941688977932,10093,10009
720575941351325744,10016,22878
720575941436730898,20334,15750
720575941353013040,11579,10723
720575941403097968,20775,10063
720575941455124717,12979,10011
720575941489591244,18001,10019
720575941490913993,11463,10061
720575941353129264,14823,10015
720575941427899220,22440,10026
720575941353070384,10693,10069
720575941435496334,11291,10098
720575941392809220,10387,10107
720575941352779824,15095,10040
720575941438712594,10533,10349
720575941401948195,15127,10426
720575941408691115,19437,12116
720575941393630102,17202,15019
720575941456563693,42534,18131
720575941350531376,10825,12604
720575941401316387,10508,12836
720575941392176388,18326,13112
720575941401753635,30144,10142
720575941410037419,75158,11035
720575941428412809,15268,10801
720575941411656081,23848,10089
720575941429488599,10275,10263
720575941408508587,12805,10020
720575941442381738,10803,10001
720575941568553330,57970,10283
720575941548936253,70083,10297
720575941401815331,12704,10068
720575941485179856,12640,10420
720575941401813027,12013,10151
720575941352944432,13796,11074
720575941391870468,14947,11256
720575941410034859,14650,10203
720575941351164464,21386,10216
720575941390702742,30838,10627
720575941481972931,15308,10076
720575941414271121,18410,10162
720575941408820271,17870,14656
720575941353205552,27366,11265
720575941433260814,18300,10042
720575941440493397,17599,11825
720575941392392964,19298,10148
720575941439675967,19597,10211
720575941390994948,20671,13170
720575941527526566,45005,10722
720575941447863828,50831,11322
720575941393655446,54263,22463
720575941414813844,60439,27084
720575941442219983,32697,10293
720575941392919300,79572,10669
720575941353229872,33408,11026
720575941351990832,11852,10986
720575941412814191,19527,10483
720575941401905699,64652,10099
720575941565309191,49337,10912
720575941409151406,36320,11544
720575941515783523,10106,10549
720575941416322332,13090,10288
720575941407385391,13727,11186
720575941450206301,13941,10530
720575941411320491,24608,10201
720575941408657838,12712,11123
720575941403576688,11319,10622
720575941438501973,11522,10429
720575941430684809,16154,17225
720575941414685468,20749,11504
720575941534407000,34834,10044
720575941438603794,19229,10363
720575941402468899,13497,10396
720575941409043627,20410,10744
720575941431092911,15642,11994
720575941437461036,17786,22521
720575941433546528,43566,17801
720575941430909025,23757,13732
720575941467609110,34416,22657
720575941402032240,43047,11197
720575941447779092,43428,15129
720575941430298638,41376,17552
720575941503680087,17610,13411
720575941394131094,18227,12400
720575941431577007,51810,10144
720575941489677001,15402,11052
720575941439727311,16195,11840
720575941526856614,15593,12001
720575941413930641,11161,11426
720575941410025071,64668,11658
720575941453267369,62866,10412
720575941447363677,31281,10698
720575941405863854,32152,13082
720575941436996882,35432,13010
720575941435272590,28628,11129
720575941353376048,54220,10446
720575941400967459,48923,10078
720575941542458204,10995,11146
720575941394072982,31956,11025
720575941438778815,42794,10766
720575941402511984,15545,10059
720575941433131790,53157,10081
720575941441909183,56220,10738
720575941391235332,17444,10832
720575941442861482,44979,13448
720575941428912265,34895,11614
720575941408841007,24363,10291
720575941411423915,34237,10416
720575941414803860,32256,10964
720575941471382903,32244,12807
720575941414885012,32790,11881
720575941440649045,32833,44847
720575941392316676,25350,12843
720575941431296248,24172,10607
720575941431378863,24505,10444
720575941392890628,58451,12492
720575941408891822,58582,10538
720575941499208161,70790,924612
720575941353092400,31782,15740
720575941600999977,21869,10310
720575941477432350,44067,11555
720575941434619534,29669,12074
720575941411131819,42884,10504
720575941392768004,43748,12651
720575941392160004,56320,10857
720575941466974294,65232,10553
720575941353320496,58188,14160
720575941441908315,48726,10492
720575941391589380,42555,11386
720575941490715623,46662,10961
720575941352286512,26915,12622
720575941496262855,59024,13178
720575941393745302,53131,800163
720575941427599956,17007,800090
720575941393316758,24068,800506
720575941560133135,110911,29867
720575941404913264,17630,13075
720575941401843747,20503,10498
720575941447402516,10065,10487
720575941353195312,12696,12216
720575941408807983,10042,10720
720575941408019374,13333,11423
720575941407404591,22208,10525
720575941412180335,20759,13007
720575941392681476,34958,10979
720575941404821104,20269,12601
720575941430564856,22754,12465
720575941459026928,22464,800112
720575941353006896,33294,800046
720575941432567511,107446,17513
720575941404908400,18991,16300
720575941401918499,540405,11125
720575941484258301,73495,10248
720575941405176176,16323,10978
720575941432125537,25389,11937
720575941405010288,25458,13819
720575941445176746,37770,12317
720575941482244547,34275,11093
720575941441694555,41562,13280
720575941392321284,29219,31525
720575941552893246,27884,14610
720575941351040048,138132,12015
720575941565942423,180106,11733
720575941408667566,21985,13148
720575941459331231,16991,13842
720575941412858479,31621,11134
720575941440507477,56488,12105
720575941433242126,83870,10114
720575941393621910,51627,10531
720575941439558975,129212,19652
720575941431269807,41122,22162
720575941435030670,44615,15838
720575941499888779,10206,34356
720575941407841071,46987,37367
720575941393490838,43913,16271
720575941404724080,51571,24028
720575941438469676,63665,28720
720575941412691823,20831,31554
720575941352552240,25958,21104
720575941429026735,129616,21481
720575941390978710,35943,25321
720575941408770351,45619,15440
720575941436164384,38090,10476
720575941408573099,62672,10250
720575941479543776,19111,11313
720575941391968150,67866,12323
720575941401814307,18686,12432
720575941352919856,33304,21726
720575941399414563,18244,11679
720575941568546418,19259,12981
720575941508453761,25602,45208
720575941411709073,79890,22822
720575941392039574,78346,11898
720575941480778915,12172,10981
720575941431104905,12211,13541
720575941353247536,16912,11676
720575941431091887,48480,47754
720575941404729712,61175,12679
720575941498974433,35309,14549
720575941411165099,40989,12403
720575941575655311,35766,10092
720575941496208071,32929,10334
720575941425369940,51950,12880
720575941414599569,53624,10496
720575941412131220,23627,12291
720575941502912599,22509,28786
