fafb_783,banc_626,manc_1.2.1
720575940628307026,720575941526929485,12749
720575940626979621,720575941688977932,10477
720575940596125868,720575941351833904,10052
720575940605825666,720575941403578224,10151
720575940610505006,720575941451917434,12486
720575940604088288,720575941430838999,10749
720575940603856352,720575941470084829,10011
720575940604865312,720575941352258864,10543
720575940604074854,720575941414262161,18150
720575940603825120,720575941350393904,10581
720575940602120928,720575941433194254,10479
720575940611746418,720575941519389806,10057
720575940603235500,720575941394069654,11307
720575940620123631,720575941479098819,11970
720575940608144732,720575941477927042,12362
720575940603899936,720575941390320644,12784
720575940610231509,720575941428412809,10979
720575940607451081,720575941428238840,10542
720575940606222014,720575941562464866,10397
720575940608078347,720575941430849377,10389
720575940636044143,720575941408509867,19689
720575940621351412,720575941450559566,11212
720575940604299454,720575941408535343,11457
720575940609957315,720575941390677654,11932
720575940604705312,720575941350413360,10094
720575940616400470,720575941431019695,10505
720575940610792290,720575941488734665,12223
720575940607008689,720575941390713238,13035
720575940610995410,720575941412552047,10548
720575940606873522,720575941350424112,15151
720575940610404581,720575941351164464,12225
720575940604474028,720575941390702742,17719
720575940606664894,720575941488644300,21687
720575940606573490,720575941437467922,13547
720575940606010057,720575941428385199,12556
720575940605032550,720575941392587414,11166
720575940613070632,720575941405895342,12522
720575940606039241,720575941447776020,10808
720575940608908100,720575941436725311,15709
720575940623082665,720575941507209029,17039
720575940603084972,720575941404713840,13596
720575940612668018,720575941431932257,16889
720575940614026193,720575941504425239,20452
720575940605370033,720575941427631444,10055
720575940605589378,720575941414326673,33816
720575940608836291,720575941413870364,10073
720575940614572542,720575941431291095,10598
720575940603943648,720575941512475971,13862
720575940604934502,720575941391252630,11505
720575940622897639,720575941481179066,28620
720575940606137632,720575941353080624,13250
720575940603765280,720575941353008688,12035
720575940604332460,720575941391756548,14222
720575940603676844,720575941401454883,14132
720575940603731168,720575941464375126,10170
720575940616617940,720575941661300792,18547
720575940604074174,720575941430420750,10183
720575940610916194,720575941414947220,14414
720575940610957778,720575941392736772,18093
720575940610846306,720575941401738787,15188
720575940606550706,720575941392697238,13915
720575940607994891,720575941352943152,24257
720575940604873662,720575941351912496,100644
720575940613151911,720575941437391378,15047
720575940604868286,720575941449054301,11262
720575940607527381,720575941408422318,12986
720575940623392949,720575941431062959,25466
720575940606198473,720575941403879792,12485
720575940603932448,720575941477820546,11865
720575940602747360,720575941407794862,13399
720575940603048108,720575941581640569,14848
720575940615612066,720575941548351549,21443
720575940604019424,720575941406254639,13115
720575940607848649,720575941411095467,10635
720575940620841310,720575941471704695,18827
720575940608702475,720575941438069036,14944
720575940625796133,720575941519552183,16273
720575940608079573,720575941469340939,20194
720575940614321831,720575941545221481,14516
720575940605552818,720575941431682775,17389
720575940613915823,720575941456814829,21236
720575940604167712,720575941392954884,10552
720575940611539865,720575941438502162,13241
720575940609695683,720575941438410514,26865
720575940605344945,720575941390285462,14508
720575940604284128,720575941451814215,11098
720575940614587990,720575941468679947,12162
720575940651932150,720575941467352406,17091
720575940605041330,720575941431091887,12648
720575940615030568,720575941404729712,13151
720575940609019093,720575941413819537,12865
720575940620037312,720575941390330372,12321
720575940624324708,720575941468341367,21661
720575940606139564,720575941409198254,14670
720575940621202670,720575941393745046,12553
720575940607417180,720575941391792388,12636
720575940612717795,720575941409918831,15338
720575940607725321,720575941353301552,12786
720575940608339209,720575941390822404,14038
720575940615453438,720575941409932911,16295
720575940604486880,720575941390193156,26394
720575940603579616,720575941514804227,11753
720575940604418993,720575941463325453,16798
720575940616840665,720575941352917296,16820
720575940612106905,720575941461794829,16074
720575940608002827,720575941514931546,17854
720575940605360817,720575941428654255,17049
720575940604756000,720575941352919856,17136
720575940609588181,720575941649267733,21706
720575940608375342,720575941439818431,22716
720575940635901018,720575941456180461,15536
720575940623963832,720575941430607753,20241
720575940614441834,720575941499708745,20986
720575940604481964,720575941414303377,15220
720575940620118430,720575941591506795,102304
720575940622037926,720575941410088047,17727
720575940620776880,720575941416637468,18781
720575940625596647,720575941352922928,14322
720575940607910980,720575941412319889,12524
720575940617225589,720575941438483474,14967
720575940611610670,720575941464048726,20133
720575940600646173,720575941519210200,15146
720575940603930046,720575941443646890,16434
720575940604745346,720575941448063764,25100
720575940607178709,720575941411885423,153995
720575940605919334,720575941450620494,17724
720575940621908420,720575941503804395,17110
720575940621729757,720575941450220381,19958
720575940615422514,720575941476041521,13485
