fafb_783,banc_626,maol_1.1
720575940628307026,720575941526929485,10046
720575940626979621,720575941688977932,10093
720575940596125868,720575941351833904,10012
720575940605825666,720575941403578224,10284
720575940610505006,720575941451917434,35838
720575940604088288,720575941430838999,17576
720575940603856352,720575941470084829,10106
720575940604865312,720575941352258864,11926
720575940604074854,720575941414262161,10387
720575940603825120,720575941350393904,10250
720575940602120928,720575941433194254,10415
720575940611746418,720575941519389806,10693
720575940603235500,720575941394069654,11157
720575940620123631,720575941479098819,18001
720575940608144732,720575941477927042,12795
720575940604732350,720575941392423830,29775
720575940611516586,720575941531356107,11212
720575940603874784,720575941474725684,11999
720575940602534112,720575941463144336,10508
720575940632045839,720575941499558369,39416
720575940602893228,720575941408568750,11507
720575940612740835,720575941350274352,12295
720575940610199781,720575941399414563,40643
720575940603956838,720575941568546418,15593
720575940606699989,720575941352917296,13196
720575940610621026,720575941407478063,11670
720575940606461216,720575941390677654,25772
720575940611206514,720575941350413360,23317
720575940604456364,720575941408049070,24034
720575940605197158,720575941410047855,24810
720575940608785365,720575941413185135,14199
720575940604504748,720575941435669522,22754
720575940611588835,720575941446948628,22307
720575940614914107,720575941449772469,35072
720575940604954289,720575941526666754,22656
720575940602718432,720575941401775651,22070
720575940607790916,720575941411754641,23210
720575940610423235,720575941392587414,18635
720575940603533246,720575941405895342,33331
720575940621717469,720575941477189662,11335
720575940617365947,720575941413870364,18464
720575940607957769,720575941408475439,38639
720575940610348773,720575941352945712,24272
720575940610077026,720575941407841071,43985
720575940607775106,720575941392418710,23125
720575940613917042,720575941409987695,12799
720575940613552947,720575941350352176,13679
720575940603683505,720575941413837084,19619
720575940607455171,720575941456315039,10264
720575940603692256,720575941489345589,10915
720575940616772865,720575941413952028,21094
720575940603695025,720575941433438240,20759
720575940618003672,720575941553503460,29183
720575940609014370,720575941436666400,35952
720575940618153637,720575941352943152,11852
720575940607233458,720575941351912496,10839
720575940610355882,720575941411840916,12970
720575940604100785,720575941391961238,88620
720575940604938342,720575941433078542,21985
720575940623579063,720575941410088047,38050
720575940606765758,720575941416637468,28970
720575940613501337,720575941524172875,40929
720575940605708478,720575941414273937,48954
720575940603250860,720575941440001343,19609
720575940609085909,720575941350354224,22091
720575940605743648,720575941475766122,20259
720575940611169242,720575941424912468,19453
720575940614742028,720575941513376588,40655
720575940605647234,720575941447048117,62328
720575940618385718,720575941458334163,30066
720575940605976521,720575941350890544,12140
720575940606746034,720575941436996882,28700
720575940609993284,720575941588615052,76864
720575940610173048,720575941399253283,19022
720575940605707710,720575941505774209,39791
720575940604470956,720575941489320757,62749
720575940603453286,720575941467254237,15069
720575940605842656,720575941414353436,39662
720575940603455846,720575941476567582,18985
720575940604076734,720575941429959895,29475
720575940611738035,720575941408639535,87503
720575940603744992,720575941353008688,15366
720575940606162306,720575941353080624,13506
720575940606810057,720575941408338862,30530
720575940617422481,720575941561204626,48687
720575940605156384,720575941401773091,47860
720575940620793584,720575941399317539,68390
720575940604451505,720575941429623544,44086
720575940604709920,720575941489123047,11384
720575940606683228,720575941448919901,42568
720575940605756081,720575941490075081,52891
720575940602920364,720575941458961860,72269
720575940612211496,720575941441927887,21293
720575940604019424,720575941411072427,20785
720575940605640905,720575941409240367,30907
720575940606677340,720575941414490516,31602
720575940609658377,720575941405826095,23369
720575940620032379,720575941435340430,21013
720575940608655883,720575941391912854,38013
720575940629067996,720575941416869404,75011
720575940623960556,720575941408674990,47642
720575940603981536,720575941441721947,16609
720575940616603997,720575941411555755,15635
720575940619221829,720575941412734831,75316
720575940610718131,720575941352470576,43428
720575940604955057,720575941401030179,27455
720575940620878727,720575941427615316,22351
720575940604285105,720575941701007066,32722
720575940611991336,720575941438502162,34123
720575940613303471,720575941438410514,23686
720575940603274272,720575941390285462,28329
720575940615631266,720575941451814215,17148
720575940613598105,720575941439285036,14823
720575940604542176,720575941477009217,19887
720575940609321938,720575941401231907,35534
720575940608127666,720575941352268592,20733
720575940618249797,720575941404875120,32103
720575940603045804,720575941404874352,30250
720575940621084771,720575941511360722,30365
720575940615746316,720575941527575974,25321
720575940605033504,720575941414168980,20189
720575940605410592,720575941353201712,12956
720575940606246334,720575941352779824,26172
720575940602977248,720575941438030354,18300
720575940604941234,720575941408657838,31726
720575940610896338,720575941352398640,54438
720575940605604030,720575941391038358,22267
720575940603751857,720575941452351098,21632
720575940603693158,720575941391464196,22997
720575940606170754,720575941433188110,85233
720575940615405718,720575941457499551,19430
720575940617668510,720575941401204515,49358
720575940624775975,720575941431927767,18244
720575940605594814,720575941545879913,35027
720575940617607451,720575941444437930,15029
720575940606334338,720575941430896632,11669
720575940610850838,720575941353268016,10803
720575940608656942,720575941480683138,18781
720575940619855296,720575941352236336,19731
720575940607496405,720575941437030111,48079
720575940618930737,720575941439780831,12070
720575940608616131,720575941537795811,46004
720575940607988745,720575941432404183,35077
720575940605842912,720575941353070384,16253
720575940605465888,720575941416179228,17429
720575940604624049,720575941401942051,44446
720575940630513022,720575941408537774,23918
720575940605536172,720575941438454335,59512
720575940607396786,720575941402302320,48244
