fafb_783,banc_626,mcns_0.9
720575940628307026,720575941526929485,537032
720575940626979621,720575941688977932,10009
720575940596125868,720575941351833904,10787
720575940605825666,720575941403578224,10106
720575940610505006,720575941451917434,10017
720575940604088288,720575941430838999,10020
720575940603856352,720575941470084829,10584
720575940604865312,720575941352258864,10056
720575940604074854,720575941414262161,10088
720575940603825120,720575941350393904,10011
720575940602120928,720575941433194254,10019
720575940611746418,720575941519389806,16614
720575940614019379,720575941415587100,10006
720575940606179686,720575941483542714,10076
720575940612224754,720575941392712196,10162
720575940612429714,720575941527011865,14656
720575940604103084,720575941402089763,11265
720575940604753437,720575941404923248,10005
720575940608770313,720575941392919556,10048
720575940606391218,720575941404166512,13014
720575940604284128,720575941431404536,10135
720575940605344945,720575941353040432,10507
720575940605187970,720575941392874902,10097
720575940605188542,720575941440350293,10035
720575940610076206,720575941353204016,10068
720575940604250214,720575941392599044,10150
720575940605498302,720575941393241604,12398
720575940603903264,720575941464278029,53579
720575940609832410,720575941432335063,10158
720575940602380768,720575941427737428,12130
720575940603533246,720575941410750123,10219
720575940622673860,720575941524717389,10249
720575940624840423,720575941431780600,10418
720575940605367473,720575941410728363,10919
720575940603123936,720575941473700448,10104
720575940611622002,720575941394054806,10236
720575940607889244,720575941402207779,10562
720575940613668266,720575941411438763,10691
720575940604427180,720575941392876548,10196
720575940604692354,720575941431269807,10223
720575940610137698,720575941435030670,10224
720575940606084444,720575941499888779,10143
720575940607125771,720575941407841071,14310
720575940607725321,720575941352945712,10791
720575940604470956,720575941390702742,27557
720575940607272649,720575941470212471,12624
720575940609133269,720575941431976718,10193
720575940611246810,720575941559314989,11654
720575940605708478,720575941453310121,10266
720575940603250860,720575941390634134,10137
720575940614506750,720575941645326280,13665
720575940606765758,720575941402088304,10483
720575940612036837,720575941407413807,10099
720575940606607234,720575941351912752,10568
720575940608188427,720575941639371125,12333
720575940605658033,720575941406488494,12083
720575940610055982,720575941430243086,10057
720575940606633248,720575941432101390,10528
720575940607193986,720575941480240352,10477
720575940614349974,720575941441596507,11004
720575940610679876,720575941430966625,10727
720575940630580854,720575941616532437,10501
720575940619682368,720575941392561558,11012
720575940609423299,720575941525730818,10965
720575940605890784,720575941492695746,11888
720575940609993284,720575941501757323,11003
720575940610173048,720575941456663021,10441
720575940611164770,720575941401454883,11983
720575940605188226,720575941472113706,31056
720575940603885856,720575941408338862,14834
720575940606505090,720575941390725270,12694
720575940609735691,720575941413902620,18353
720575940607876018,720575941436848095,26244
720575940604324017,720575941412551791,13485
720575940603827633,720575941452239529,17204
720575940610485145,720575941408509867,25435
720575940616629058,720575941517770412,11894
720575940609123396,720575941399253283,13949
720575940605248898,720575941505774209,13524
720575940618153637,720575941439017423,10229
720575940607233458,720575941458334163,11559
720575940610355882,720575941444822698,10593
720575940609677636,720575941392604054,10039
720575940611128782,720575941428210424,10567
720575940603943648,720575941472173610,10835
720575940604934502,720575941445252628,10084
720575940622897639,720575941400710435,11930
720575940606137632,720575941430975329,10049
720575940603765280,720575941428263928,13375
720575940604332460,720575941390363396,10321
720575940603676844,720575941473904443,18904
720575940603731168,720575941411405995,19225
720575940611415449,720575941455536435,32379
720575940608014549,720575941408363950,13787
720575940615942506,720575941393657238,10412
720575940610237394,720575941492641712,11720
720575940604868286,720575941441901759,13771
720575940606577673,720575941351909680,12325
