fafb_783,manc_1.2.1,maol_1.1
720575940628307026,12749,10046
720575940626979621,10477,10093
720575940596125868,10052,10012
720575940605825666,10151,10284
720575940610505006,12486,35838
720575940604088288,10749,17576
720575940603722412,10987,10439
720575940613065130,20143,55536
720575940601867017,10225,10351
720575940605199038,10105,10250
720575940606608230,10131,12174
720575940603067360,23755,13707
720575940615688404,10510,12295
720575940610100466,24856,40643
720575940624310468,10275,20674
720575940606084542,15535,11161
720575940617226869,10148,24886
720575940606696382,10398,18632
720575940606548326,10397,26131
720575940607461899,10389,61155
720575940608145026,19689,11130
720575940604165856,11212,10255
720575940604690278,10003,29658
720575940606726834,11478,16170
720575940607447491,10808,20248
720575940606198473,13984,72876
720575940603932448,10356,15910
720575940602747360,10997,16474
720575940603048108,13307,31006
720575940605104049,11112,45209
720575940609427246,15994,20218
720575940604065470,10942,25083
720575940618627377,100400,521030
720575940603747360,100408,39128
720575940608047299,16378,37967
720575940610440049,15283,29953
720575940605361841,11440,29986
720575940608208835,10995,30166
720575940608328387,13604,38284
720575940608783452,11875,56215
720575940602831328,12113,16468
720575940604451505,11411,70831
720575940604709920,17818,31457
720575940609558136,12623,22257
720575940604019424,10359,25607
720575940606436384,11242,15000
720575940628137222,20465,132136
720575940611091780,10386,45675
720575940617178369,10524,13260
720575940640698064,11624,15094
720575940606597724,14938,15858
720575940624364474,10401,23572
720575940636345707,12975,84426
720575940603676844,10094,35190
720575940604332460,11946,42476
720575940606298754,22346,14595
720575940611755157,12997,23848
720575940603951806,10482,10275
720575940615210508,12185,27868
720575940609220450,18569,25651
720575940613775825,10548,47592
720575940614215405,15151,15112
720575940604759910,19414,68245
720575940611292622,13024,45326
720575940604470240,30100,15770
720575940603924512,24989,14258
720575940607890377,14079,14650
720575940608237013,10979,26856
720575940605341216,11529,64441
720575940611418574,104697,17405
720575940607017993,16798,10803
720575940613825814,17570,58653
720575940603545190,12520,20749
720575940614604525,14309,23175
720575940607386290,13413,54725
720575940605890784,13787,52344
720575940607377586,20469,30506
720575940605154988,18519,40232
720575940610872014,15095,29581
720575940610679876,15057,26124
720575940604930481,14503,18991
720575940611700520,13637,28500
720575940608402012,14222,22754
720575940604458668,12035,22307
720575940606112940,16551,35072
720575940605513649,14873,24469
720575940605658033,17905,24909
720575940604727264,18908,37641
720575940605188542,15087,32926
720575940608909269,15946,14823
720575940603441632,16919,28232
720575940602885344,25779,29553
720575940610484834,20732,55940
720575940613527779,20448,11762
720575940608041923,14644,32162
720575940612169570,22825,56220
720575940621548276,17495,109404
720575940617368925,23350,81372
720575940604265440,18851,18201
720575940602572768,32649,41586
720575940611838577,31712,52378
720575940606135473,31967,14872
720575940612418510,43506,23606
720575940604519014,42076,14080
720575940613094002,30452,12956
720575940611857138,15831,28167
720575940608431043,14944,84881
720575940611407843,12891,46611
720575940618375803,11723,70555
720575940601712649,13115,58593
720575940612808597,19443,70395
720575940606756030,23553,119821
720575940605055916,27801,42931
