fafb_783,manc_1.2.1,mcns_0.9
720575940628307026,12749,537032
720575940626979621,10477,10009
720575940596125868,10052,10787
720575940605825666,10151,10106
720575940610505006,12486,10017
720575940604088288,10749,10020
720575940603856352,10011,10584
720575940604865312,10543,10056
720575940604074854,18150,10088
720575940603825120,10581,10011
720575940602120928,10479,10019
720575940611746418,10057,16614
720575940614019379,16740,10006
720575940606179686,10808,10076
720575940612224754,11420,10162
720575940612429714,10552,14656
720575940604103084,10992,11265
720575940604753437,10590,10005
720575940608770313,10635,10048
720575940606391218,16941,13014
720575940604284128,10979,10135
720575940615385798,10542,10054
720575940612612757,13728,10410
720575940607641010,11505,10219
720575940616570966,14629,10249
720575940634813536,10055,10418
720575940603569836,10455,10919
720575940604772576,10275,10104
720575940617990228,15535,10124
720575940609340785,20103,13073
720575940605093310,12529,11336
720575940607499787,11620,10720
720575940612775934,13709,10511
720575940611982997,13182,10504
720575940605639810,13742,12651
720575940610282981,12646,11200
720575940608509451,10386,10120
720575940608908100,13648,10144
