fafb_783,maol_1.1,mcns_0.9
720575940628307026,10046,537032
720575940626979621,10093,10009
720575940596125868,10012,10787
720575940605825666,10284,10106
720575940610505006,35838,10017
720575940604088288,17576,10020
720575940603856352,10106,10584
720575940604865312,11926,10056
720575940604074854,10387,10088
720575940603825120,10250,10011
720575940602120928,10415,10019
720575940611746418,10693,16614
720575940614019379,82745,10006
720575940606179686,12295,10076
720575940612224754,40643,10162
720575940612429714,15593,14656
720575940604103084,10029,11265
720575940604753437,15000,10005
720575940608770313,10845,10048
720575940606391218,11130,13014
720575940604284128,11202,10135
720575940615385798,10275,10054
720575940612612757,19795,10410
720575940607641010,38414,10219
720575940616570966,12719,10249
720575940634813536,12970,10418
720575940603569836,14080,10919
720575940604772576,12956,10104
720575940617990228,25664,10124
720575940609340785,18496,13073
720575940605093310,13679,11336
720575940616356662,19619,10820
720575940607152085,10264,10145
720575940612227880,10915,10117
720575940631283512,34453,11088
720575940605188542,25222,11250
720575940610076206,25083,10224
720575940604250214,19577,10098
720575940605498302,18635,10107
720575940603903264,22148,10642
720575940610624485,20062,18505
720575940606850761,18464,10796
720575940611249635,19459,10214
720575940604954289,16590,10441
720575940603989420,28031,11003
720575940611347123,16366,10729
720575940603274272,18001,10562
720575940608402524,15319,10691
720575940606607234,32167,10187
720575940610258552,22754,10044
720575940609423299,22464,10356
720575940607377586,30506,10370
720575940607162754,27731,62710
720575940612357618,38821,13369
720575940609133269,44894,10645
720575940605282406,41267,10422
720575940612376805,314274,11679
720575940604930481,44284,10328
720575940611700520,25308,10483
720575940616185531,21448,10547
720575940612427670,14823,10449
720575940660224641,17148,11948
720575940610001220,99454,10587
720575940607345586,15264,10686
720575940608735241,10508,10279
720575940616362123,39416,12742
720575940606303755,12211,10374
720575940612805118,12172,11238
720575940610158821,15007,11408
720575940628745209,11669,15047
720575940613545066,12704,12097
720575940609347595,12748,10805
720575940605353649,15219,13295
720575940606856405,107372,10383
720575940611768803,54786,45757
720575940607178709,21386,532787
720575940605919334,23918,12012
720575940623533459,29414,10254
720575940610702968,188160,10039
720575940603636913,44911,13596
720575940603533246,24622,11958
720575940610605747,17418,10917
720575940611384306,19758,10883
720575940602914988,17951,17407
720575940609014370,25101,17451
720575940607627275,20155,10985
720575940603695025,23782,12421
720575940617622219,22378,21512
720575940614726261,20474,11038
720575940611091268,26590,10368
720575940608911662,23996,11194
720575940606722662,61269,10873
720575940610140309,22786,56710
720575940606687957,17235,10165
720575940611622826,64030,10548
720575940604705312,80567,11248
720575940623366102,115098,11033
720575940614041139,30865,14611
720575940605625958,30922,10047
720575940608886741,30166,15903
720575940611012721,38284,11861
720575940602977248,10928,12999
720575940604663520,28853,15335
720575940605842656,33291,17369
720575940611128782,37036,10665
720575940604762028,35832,14351
720575940608462684,19320,10086
720575940611327129,20092,11668
720575940610977941,79753,26636
720575940608605705,62582,11494
720575940603596972,56495,15195
720575940614396778,26454,12502
720575940605604030,22280,11190
720575940603751857,38390,11467
720575940639293312,86541,92337
720575940606764041,22152,10208
720575940619441112,67578,11195
720575940609979610,72123,19036
720575940609959637,53733,11903
720575940607472649,20794,12290
720575940616603793,48591,12997
720575940603441632,70798,14798
720575940602885344,25350,19392
720575940610484834,23890,30426
720575940613527779,23154,11032
720575940611555953,31112,14616
720575940609670724,20538,107432
720575940608945091,48894,53743
